FeatureName,Year,Value,Energy Type,Energy Consuming Sector
West Dunbartonshire,2015,37.101,Petroleum Products,Industrial
Dumfries and Galloway,2015,1254.018,All,Domestic
West Dunbartonshire,2015,0,Bioenergy & Wastes,Commercial
Aberdeenshire,2015,6.745,Bioenergy & Wastes,Industrial
Na h-Eileanan Siar,2015,182.022,All,Transport
Aberdeen City,2015,1430.167,Petroleum Products,All
Na h-Eileanan Siar,2015,12.581,Coal,Industrial
Falkirk,2015,436.556,Electricity,Industrial & Commercial
Clackmannanshire,2015,220.251,Electricity,Industrial & Commercial
Na h-Eileanan Siar,2015,154.676,Electricity,All
Highland,2015,2203.421,All,Transport
Argyll and Bute,2015,18.744,Bioenergy & Wastes,Road Transport
Scottish Borders,2015,992.271,All,Domestic
Aberdeenshire,2015,597.598,Electricity,Domestic
West Dunbartonshire,2015,120.14,Gas,Commercial
Falkirk,2015,16555.439,All,All
Dumfries and Galloway,2015,305.89,Electricity,Industrial
Falkirk,2015,0,Coal,Industrial
Na h-Eileanan Siar,2015,0.581,Coal,Public Sector
Dumfries and Galloway,2015,904.78,Electricity,All
North Lanarkshire,2015,456.082,Electricity,Industrial
Na h-Eileanan Siar,2015,6.816,Bioenergy & Wastes,Domestic
East Dunbartonshire,2015,507.361,Petroleum Products,All
North Ayrshire,2015,45.658,Petroleum Products,Agriculture
North Lanarkshire,2015,1400.028,Electricity,All
Na h-Eileanan Siar,2015,0,Gas,Domestic
East Dunbartonshire,2015,188.503,Electricity,Domestic
Dundee City,2015,0.681,Manufactured Fuels,Domestic
Highland,2015,2.526,Coal,Rail
Renfrewshire,2015,494.022,Electricity,Industrial & Commercial
Aberdeenshire,2015,2264.571,Petroleum Products,Road Transport
East Dunbartonshire,2015,0.009,Coal,Commercial
Na h-Eileanan Siar,2015,5.019,Bioenergy & Wastes,Industrial
Dundee City,2015,2.516,Bioenergy & Wastes,Domestic
Na h-Eileanan Siar,2015,0,Gas,Commercial
North Ayrshire,2015,778.329,Gas,Industrial
Clackmannanshire,2015,0.604,Petroleum Products,Commercial
Dundee City,2015,81.733,Petroleum Products,Industrial
Orkney Islands,2015,500.994,All,All
Orkney Islands,2015,26.75,Electricity,Commercial
Renfrewshire,2015,220.256,Electricity,Commercial
Argyll and Bute,2015,58.9,Bioenergy & Wastes,All
Na h-Eileanan Siar,2015,63.414,Electricity,Industrial & Commercial
Argyll and Bute,2015,116.209,Petroleum Products,Agriculture
Highland,2015,436.462,Bioenergy & Wastes,Industrial
North Ayrshire,2015,0.81,Coal,Industrial
Renfrewshire,2015,307.959,Electricity,Domestic
Scottish Borders,2015,754.469,Gas,All
Highland,2015,55.135,Bioenergy & Wastes,Road Transport
Shetland Islands,2015,0,Gas,Domestic
Argyll and Bute,2015,36.535,Coal,All
Falkirk,2015,12356.574,Petroleum Products,Industrial
Falkirk,2015,0.817,Petroleum Products,Public Sector
East Ayrshire,2015,94.953,Petroleum Products,Agriculture
Dumfries and Galloway,2015,2916.638,Petroleum Products,All
North Lanarkshire,2015,24.817,Bioenergy & Wastes,Domestic
Renfrewshire,2015,273.766,Electricity,Industrial
Aberdeenshire,2015,4.615,Petroleum Products,Commercial
Scottish Borders,2015,0,Coal,Rail
Dumfries and Galloway,2015,20.74,Bioenergy & Wastes,Commercial
Argyll and Bute,2015,15.163,Bioenergy & Wastes,Domestic
Scottish Borders,2015,40.339,Bioenergy & Wastes,Commercial
Perth and Kinross,2015,1.882,Bioenergy & Wastes,Industrial
City of Edinburgh,2015,104.493,Bioenergy & Wastes,All
South Lanarkshire,2015,6769.363,All,All
Midlothian,2015,548.542,All,Transport
City of Edinburgh,2015,905.992,Electricity,Domestic
South Lanarkshire,2015,292.091,Gas,Commercial
East Renfrewshire,2015,737.86,Gas,All
South Lanarkshire,2015,2585.992,All,Domestic
East Renfrewshire,2015,0.196,Petroleum Products,Public Sector
Glasgow City,2015,11.259,Petroleum Products,Public Sector
East Lothian,2015,11.865,Bioenergy & Wastes,Domestic
South Lanarkshire,2015,0.73,Petroleum Products,Public Sector
East Renfrewshire,2015,15.911,Bioenergy & Wastes,Road Transport
Renfrewshire,2015,1549.877,Gas,All
Scottish Borders,2015,83.16,Coal,Industrial
Orkney Islands,2015,0,Gas,Domestic
Aberdeenshire,2015,40.911,Bioenergy & Wastes,Domestic
Orkney Islands,2015,1.06,Petroleum Products,Commercial
Dumfries and Galloway,2015,0,Coal,Agriculture
North Ayrshire,2015,802.727,Petroleum Products,All
Scottish Borders,2015,0,Coal,Agriculture
Aberdeen City,2015,77.415,Bioenergy & Wastes,All
North Ayrshire,2015,2.341,Petroleum Products,Rail
East Dunbartonshire,2015,1.844,Manufactured Fuels,Domestic
North Lanarkshire,2015,577.01,Electricity,Domestic
Dumfries and Galloway,2015,60.19,Coal,Industrial
Dumfries and Galloway,2015,114.23,Bioenergy & Wastes,All
Dumfries and Galloway,2015,352.789,Electricity,Domestic
Falkirk,2015,0,Coal,Agriculture
Scottish Borders,2015,501.972,Gas,Domestic
Aberdeen City,2015,0,Coal,Agriculture
Orkney Islands,2015,81.743,Electricity,Domestic
Aberdeenshire,2015,0,Coal,Rail
Dumfries and Galloway,2015,263.16,Petroleum Products,Domestic
Aberdeen City,2015,2263.572,All,Industrial & Commercial
Aberdeenshire,2015,1738.048,All,Industrial & Commercial
Highland,2015,7429.625,All,All
Argyll and Bute,2015,73.799,Gas,Industrial
North Lanarkshire,2015,7562.218,All,All
Scottish Borders,2015,116.022,Bioenergy & Wastes,All
Dumfries and Galloway,2015,20.017,Manufactured Fuels,Industrial
West Dunbartonshire,2015,0.901,Petroleum Products,Commercial
Na h-Eileanan Siar,2015,0,Gas,Industrial
East Lothian,2015,757.333,All,Transport
Renfrewshire,2015,11.893,Petroleum Products,Domestic
Aberdeenshire,2015,307.562,Petroleum Products,Industrial
East Dunbartonshire,2015,1.391,Coal,All
West Dunbartonshire,2015,0.952,Petroleum Products,Public Sector
North Ayrshire,2015,1.81,Coal,Domestic
North Ayrshire,2015,2193.134,Gas,All
North Lanarkshire,2015,26.104,Petroleum Products,Agriculture
North Ayrshire,2016,98.832,Petroleum Products,Industrial
Aberdeenshire,2016,2418.729,Petroleum Products,Road Transport
West Dunbartonshire,2016,535.275,All,Transport
Falkirk,2016,707.139,Electricity,All
Aberdeenshire,2016,0,Coal,Agriculture
Falkirk,2016,1371.132,Petroleum Products,Road Transport
Dumfries and Galloway,2016,1.544,Coal,Public Sector
East Dunbartonshire,2016,0,Coal,Agriculture
Aberdeenshire,2016,6.145,Bioenergy & Wastes,Commercial
Dumfries and Galloway,2016,52.592,Bioenergy & Wastes,Road Transport
North Ayrshire,2016,2.187,Petroleum Products,Rail
North Ayrshire,2016,2247.564,Gas,All
North Ayrshire,2016,0,Coal,Agriculture
Falkirk,2016,272.83,Electricity,Industrial
North Lanarkshire,2016,0.053,Coal,Public Sector
Orkney Islands,2016,112.742,Petroleum Products,Road Transport
Falkirk,2016,13314.368,Petroleum Products,Industrial
Dumfries and Galloway,2016,9.942,Manufactured Fuels,Domestic
Orkney Islands,2016,220.588,All,Industrial & Commercial
Aberdeenshire,2016,30.29,Coal,Industrial
Aberdeenshire,2016,1050.935,Gas,Domestic
Dundee City,2016,1136.357,All,Industrial & Commercial
West Dunbartonshire,2016,714.864,Gas,All
West Dunbartonshire,2016,72.094,Gas,Commercial
West Dunbartonshire,2016,0.406,Manufactured Fuels,Domestic
Scottish Borders,2016,0.075,Manufactured Fuels,Industrial
Dundee City,2016,0.193,Coal,All
North Lanarkshire,2016,7.158,Manufactured Fuels,Domestic
North Lanarkshire,2016,1337.146,Electricity,All
East Dunbartonshire,2016,12.267,Bioenergy & Wastes,Road Transport
North Ayrshire,2016,471.787,Gas,Commercial
West Dunbartonshire,2016,0.16,Coal,Domestic
Dumfries and Galloway,2016,519.838,Petroleum Products,Agriculture
Aberdeenshire,2016,1.14,Petroleum Products,Public Sector
Aberdeenshire,2016,1398.072,Gas,All
Falkirk,2016,0,Bioenergy & Wastes,Commercial
North Lanarkshire,2016,11.804,Manufactured Fuels,Industrial
East Dunbartonshire,2016,0.052,Manufactured Fuels,Industrial
South Lanarkshire,2016,6.463,Manufactured Fuels,Domestic
Glasgow City,2016,3428.281,Petroleum Products,All
Scottish Borders,2016,0.387,Coal,Public Sector
Midlothian,2016,39.122,Petroleum Products,Industrial
Shetland Islands,2016,0.104,Manufactured Fuels,Industrial
West Lothian,2016,0,Coal,Rail
South Lanarkshire,2016,181.868,Gas,Commercial
Moray,2016,15.827,Bioenergy & Wastes,Road Transport
South Lanarkshire,2016,22.375,Bioenergy & Wastes,Domestic
Midlothian,2016,140.2,Electricity,Domestic
Midlothian,2016,9.679,Bioenergy & Wastes,Domestic
West Lothian,2016,0,Coal,Agriculture
Shetland Islands,2016,2.047,Coal,Domestic
North Ayrshire,2016,2.937,Manufactured Fuels,Domestic
North Lanarkshire,2016,274.841,Gas,Commercial
Midlothian,2016,36.248,Bioenergy & Wastes,All
North Ayrshire,2016,914.71,Bioenergy & Wastes,Industrial
Midlothian,2016,591.836,All,Transport
South Lanarkshire,2016,9.073,Bioenergy & Wastes,Industrial
Shetland Islands,2016,8.664,Coal,All
Perth and Kinross,2016,20.463,Coal,All
Midlothian,2016,2.836,Manufactured Fuels,Domestic
Midlothian,2016,0.181,Coal,Commercial
South Lanarkshire,2016,3.847,Manufactured Fuels,Industrial
Perth and Kinross,2016,12.289,Coal,Industrial
South Lanarkshire,2016,0.539,Coal,Public Sector
West Dunbartonshire,2016,71.01,Electricity,Commercial
Perth and Kinross,2016,348.869,Electricity,Domestic
Orkney Islands,2016,1.443,Bioenergy & Wastes,Industrial
South Lanarkshire,2016,10.31,Manufactured Fuels,All
Scottish Borders,2016,1565.669,Petroleum Products,All
Falkirk,2016,0,Bioenergy & Wastes,Industrial
West Dunbartonshire,2016,0.011,Coal,Commercial
Scottish Borders,2016,69.164,Coal,Industrial
North Ayrshire,2016,16.627,Bioenergy & Wastes,Road Transport
Aberdeenshire,2016,575.251,Electricity,Domestic
East Dunbartonshire,2016,6.007,Bioenergy & Wastes,Domestic
North Ayrshire,2016,48.247,Petroleum Products,Agriculture
East Dunbartonshire,2016,0,Bioenergy & Wastes,Industrial
Scottish Borders,2016,311.078,Electricity,Industrial & Commercial
Aberdeen City,2016,5019.812,All,All
Aberdeen City,2016,1.728,Coal,Public Sector
East Dunbartonshire,2016,0,Bioenergy & Wastes,Commercial
Falkirk,2016,23.893,Petroleum Products,Domestic
North Ayrshire,2016,1.796,Coal,Domestic
Dumfries and Galloway,2016,186.389,Gas,Commercial
Aberdeen City,2016,2323.112,Gas,All
Aberdeen City,2016,1054.765,Petroleum Products,Road Transport
East Dunbartonshire,2016,0,Coal,Rail
Dumfries and Galloway,2016,0,Coal,Rail
Scottish Borders,2016,6.546,Manufactured Fuels,All
North Ayrshire,2016,3608.128,All,Industrial & Commercial
Falkirk,2016,8.553,Bioenergy & Wastes,Domestic
Aberdeenshire,2016,3711.475,Petroleum Products,All
Falkirk,2016,17550.241,All,All
East Dunbartonshire,2016,1.849,Manufactured Fuels,All
Aberdeenshire,2016,653.609,Electricity,Industrial & Commercial
Orkney Islands,2016,0,Manufactured Fuels,Industrial
North Ayrshire,2016,248.214,Electricity,Domestic
West Dunbartonshire,2016,145.863,Electricity,Domestic
Dumfries and Galloway,2016,8.042,Manufactured Fuels,Industrial
Falkirk,2016,0,Coal,Industrial
Orkney Islands,2016,80.046,Electricity,Domestic
Falkirk,2016,430.483,Electricity,Industrial & Commercial
Dumfries and Galloway,2016,37.294,Coal,Industrial
Dumfries and Galloway,2016,15.576,Bioenergy & Wastes,Commercial
Dumfries and Galloway,2016,196.353,Electricity,Commercial
Falkirk,2016,15.822,Petroleum Products,Rail
Aberdeenshire,2016,109.509,Gas,Commercial
North Lanarkshire,2016,18.962,Manufactured Fuels,All
North Lanarkshire,2016,27.587,Petroleum Products,Agriculture
Dumfries and Galloway,2016,1865.149,All,Industrial & Commercial
Dundee City,2016,291.594,Electricity,Domestic
Aberdeenshire,2016,14.008,Coal,Domestic
Aberdeenshire,2016,1.396,Coal,Public Sector
Falkirk,2016,143.048,Gas,Commercial
Aberdeenshire,2016,239.367,Electricity,Commercial
Scottish Borders,2016,1011.957,All,Transport
Orkney Islands,2016,0.369,Petroleum Products,Public Sector
Falkirk,2016,24.152,Petroleum Products,Agriculture
Dumfries and Galloway,2016,0,Coal,Agriculture
Aberdeenshire,2016,42.72,Petroleum Products,Rail
Dundee City,2016,0.001,Coal,Commercial
North Ayrshire,2016,0.186,Manufactured Fuels,Industrial
Scottish Borders,2016,6.471,Manufactured Fuels,Domestic
Aberdeenshire,2016,0,Coal,Rail
Aberdeenshire,2016,46.489,Coal,All
Aberdeenshire,2016,6531.55,All,All
East Dunbartonshire,2016,509.247,Petroleum Products,All
Aberdeen City,2016,18.383,Petroleum Products,Public Sector
Dumfries and Galloway,2016,2.663,Petroleum Products,Commercial
Falkirk,2016,310.407,Gas,Industrial
North Lanarkshire,2016,2.832,Petroleum Products,Commercial
Scottish Borders,2016,5.908,Coal,Domestic
Aberdeenshire,2016,580.498,Petroleum Products,Domestic
Falkirk,2016,36.636,Bioenergy & Wastes,Road Transport
Scottish Borders,2016,954.804,Petroleum Products,Road Transport
North Lanarkshire,2016,0.441,Bioenergy & Wastes,Industrial
North Ayrshire,2016,0,Coal,Rail
Falkirk,2016,0.43,Coal,Rail
North Lanarkshire,2016,285.521,Petroleum Products,Industrial
Aberdeen City,2016,16.712,Bioenergy & Wastes,Industrial
Dumfries and Galloway,2016,869.409,Electricity,All
East Dunbartonshire,2016,0.004,Coal,Public Sector
Glasgow City,2016,0,Coal,Commercial
South Ayrshire,2016,4.817,Manufactured Fuels,All
West Dunbartonshire,2016,156.44,Gas,Industrial
South Ayrshire,2016,21.463,Bioenergy & Wastes,Road Transport
South Ayrshire,2016,5.412,Coal,All
West Lothian,2016,30.169,Petroleum Products,Agriculture
West Lothian,2016,52.051,Bioenergy & Wastes,All
Midlothian,2016,491.652,Gas,Domestic
North Lanarkshire,2016,596.391,Gas,Industrial
South Ayrshire,2016,0.131,Coal,Public Sector
West Lothian,2016,1.938,Petroleum Products,Commercial
Scottish Borders,2016,197.154,Electricity,Industrial
Glasgow City,2016,1494.193,Gas,Industrial
Moray,2016,0.361,Coal,Public Sector
Perth and Kinross,2016,1003.398,Gas,All
South Ayrshire,2016,34.779,Bioenergy & Wastes,All
South Ayrshire,2016,797.423,Petroleum Products,Road Transport
Perth and Kinross,2016,2.547,Petroleum Products,Commercial
Perth and Kinross,2016,22.426,Bioenergy & Wastes,Domestic
Scottish Borders,2016,30.294,Bioenergy & Wastes,Commercial
South Ayrshire,2016,1143.252,All,Industrial & Commercial
South Lanarkshire,2016,2418.812,Gas,All
West Lothian,2016,343.638,Electricity,Industrial
South Ayrshire,2016,1.547,Petroleum Products,Commercial
Midlothian,2016,0,Coal,Agriculture
South Lanarkshire,2016,2584.901,All,Domestic
South Lanarkshire,2016,242.364,Petroleum Products,Industrial
Shetland Islands,2016,0,Gas,Industrial
Glasgow City,2016,992.423,Electricity,Domestic
South Ayrshire,2016,140.616,Petroleum Products,Industrial
South Ayrshire,2016,4.005,Manufactured Fuels,Domestic
West Lothian,2016,120.513,Petroleum Products,Industrial
Moray,2016,97.116,Petroleum Products,Agriculture
South Ayrshire,2016,2.859,Coal,Domestic
Midlothian,2016,131.714,Electricity,Industrial
Perth and Kinross,2016,683.961,Gas,Domestic
West Lothian,2016,0,Bioenergy & Wastes,Industrial
Midlothian,2016,30.333,Petroleum Products,Domestic
South Ayrshire,2016,0,Bioenergy & Wastes,Commercial
Glasgow City,2016,4.108,Petroleum Products,Agriculture
Midlothian,2016,4.573,Bioenergy & Wastes,Commercial
Midlothian,2016,464.627,All,Industrial & Commercial
Midlothian,2016,76.11,Electricity,Commercial
West Lothian,2016,542.206,Electricity,Industrial & Commercial
West Lothian,2016,1371.765,All,Domestic
South Ayrshire,2016,1117.864,Petroleum Products,All
Perth and Kinross,2016,7.547,Manufactured Fuels,Domestic
Perth and Kinross,2016,70.144,Petroleum Products,Rail
South Ayrshire,2016,1279.523,Gas,All
South Ayrshire,2016,4.589,Petroleum Products,Rail
Midlothian,2016,117.015,Gas,Industrial
South Ayrshire,2016,823.474,All,Transport
Moray,2016,930.75,Petroleum Products,All
Midlothian,2016,53.925,Gas,Commercial
Midlothian,2016,2.836,Manufactured Fuels,All
Moray,2016,103.269,Bioenergy & Wastes,All
Perth and Kinross,2016,100.77,Gas,Commercial
South Ayrshire,2016,194.69,Gas,Commercial
Glasgow City,2016,268.675,Petroleum Products,Industrial
Moray,2016,1.17,Petroleum Products,Commercial
South Ayrshire,2016,0,Coal,Rail
South Ayrshire,2016,422.468,Gas,Industrial
Moray,2016,5.571,Manufactured Fuels,All
Glasgow City,2016,0,Bioenergy & Wastes,Commercial
South Ayrshire,2016,953.546,All,Domestic
West Lothian,2016,3.632,Manufactured Fuels,Domestic
Midlothian,2016,676.61,All,Domestic
Midlothian,2016,0,Coal,Rail
Perth and Kinross,2016,7.547,Manufactured Fuels,All
West Dunbartonshire,2016,193.898,Electricity,Industrial & Commercial
West Lothian,2016,1384.605,All,Industrial & Commercial
Moray,2016,3.904,Petroleum Products,Public Sector
South Ayrshire,2016,0.268,Coal,Commercial
West Lothian,2016,198.569,Electricity,Commercial
Moray,2016,795.575,All,Domestic
Perth and Kinross,2016,138.774,Electricity,Commercial
South Lanarkshire,2016,101.351,Bioenergy & Wastes,All
North Lanarkshire,2016,2585.854,All,Domestic
Perth and Kinross,2016,6.623,Coal,Domestic
Moray,2016,86.273,Petroleum Products,Industrial
Midlothian,2016,1733.073,All,All
Moray,2016,112.985,Electricity,Commercial
Perth and Kinross,2016,80.422,Bioenergy & Wastes,All
Glasgow City,2016,1800.059,Electricity,Industrial & Commercial
Moray,2016,0,Manufactured Fuels,Industrial
Perth and Kinross,2016,0.508,Petroleum Products,Public Sector
South Lanarkshire,2016,211.732,Electricity,Commercial
Perth and Kinross,2016,218.667,Gas,Industrial
South Lanarkshire,2016,578.149,Electricity,Industrial & Commercial
Perth and Kinross,2016,980.918,All,Industrial & Commercial
Midlothian,2016,0,Manufactured Fuels,Industrial
Perth and Kinross,2016,0.864,Coal,Commercial
North Lanarkshire,2016,2755.752,All,Transport
Shetland Islands,2016,0,Gas,All
West Lothian,2016,6.05,Manufactured Fuels,All
Perth and Kinross,2016,0.686,Coal,Public Sector
Midlothian,2016,207.824,Electricity,Industrial & Commercial
Midlothian,2016,6.598,Bioenergy & Wastes,Industrial
Perth and Kinross,2016,0,Coal,Agriculture
Glasgow City,2016,12.895,Petroleum Products,Rail
Midlothian,2016,670.252,Petroleum Products,All
South Lanarkshire,2016,2.496,Petroleum Products,Commercial
Perth and Kinross,2016,0,Manufactured Fuels,Industrial
South Lanarkshire,2016,1842.299,Gas,Domestic
Moray,2016,0.28,Coal,Commercial
Perth and Kinross,2016,4435.034,All,All
Moray,2016,28.924,Bioenergy & Wastes,Commercial
Scottish Borders,2016,0.487,Petroleum Products,Public Sector
Midlothian,2016,23.184,Petroleum Products,Agriculture
Midlothian,2016,10.643,Coal,Industrial
Perth and Kinross,2016,53.807,Bioenergy & Wastes,Road Transport
Moray,2016,595.197,Petroleum Products,Road Transport
Midlothian,2016,1.91,Coal,Domestic
Scottish Borders,2016,118.048,Bioenergy & Wastes,All
South Lanarkshire,2016,63.615,Bioenergy & Wastes,Road Transport
Midlothian,2016,13.121,Coal,All
Perth and Kinross,2016,1.715,Bioenergy & Wastes,Commercial
West Lothian,2016,1495.781,All,Transport
Glasgow City,2016,13.869,Petroleum Products,Domestic
Midlothian,2016,0.387,Coal,Public Sector
South Lanarkshire,2016,29.669,Petroleum Products,Rail
Perth and Kinross,2016,727.801,Electricity,All
Perth and Kinross,2016,2.474,Bioenergy & Wastes,Industrial
Inverclyde,2016,176.2,Electricity,Industrial & Commercial
Glasgow City,2016,3869.527,All,Domestic
Inverclyde,2016,7.905,Petroleum Products,Agriculture
South Lanarkshire,2016,0.2,Coal,Commercial
Shetland Islands,2016,0,Coal,Agriculture
South Lanarkshire,2016,588.374,Electricity,Domestic
Glasgow City,2016,2852.748,Gas,Domestic
Scottish Borders,2016,1125.956,All,Industrial & Commercial
Midlothian,2016,0.876,Petroleum Products,Commercial
Shetland Islands,2016,32.908,Electricity,Commercial
Glasgow City,2016,3212.672,All,Transport
South Lanarkshire,2016,0,Coal,Rail
Perth and Kinross,2016,240.158,Electricity,Industrial
North Ayrshire,2016,38.588,Petroleum Products,Domestic
Inverclyde,2016,0.576,Coal,All
West Dunbartonshire,2016,0,Coal,Agriculture
Shetland Islands,2016,363.169,Petroleum Products,All
Highland,2016,78.809,Coal,All
Moray,2016,308.514,Electricity,Industrial & Commercial
Highland,2016,652.547,Electricity,Domestic
Clackmannanshire,2016,0.708,Manufactured Fuels,Industrial
East Dunbartonshire,2016,443.236,Petroleum Products,Road Transport
Stirling,2016,0.364,Manufactured Fuels,Industrial
Glasgow City,2016,0,Bioenergy & Wastes,Industrial
Shetland Islands,2016,64.48,Petroleum Products,Industrial
North Ayrshire,2016,1.334,Petroleum Products,Commercial
Shetland Islands,2016,579.64,All,All
Highland,2016,17.382,Manufactured Fuels,All
Clackmannanshire,2016,253.679,Petroleum Products,Road Transport
East Dunbartonshire,2016,8.959,Petroleum Products,Domestic
Shetland Islands,2016,0.256,Petroleum Products,Public Sector
Shetland Islands,2016,4.366,Bioenergy & Wastes,Road Transport
Clackmannanshire,2016,260.851,All,Transport
Aberdeen City,2016,3.709,Manufactured Fuels,Domestic
North Ayrshire,2016,261.554,Electricity,Industrial
East Dunbartonshire,2016,97.144,Gas,Industrial
West Lothian,2016,1443.638,Petroleum Products,Road Transport
Shetland Islands,2016,1.022,Petroleum Products,Commercial
East Dunbartonshire,2016,1.946,Coal,Industrial
West Dunbartonshire,2016,0,Coal,Industrial
East Dunbartonshire,2016,7.439,Petroleum Products,Rail
Aberdeen City,2016,28.963,Bioenergy & Wastes,Road Transport
Shetland Islands,2016,163.888,Petroleum Products,Road Transport
East Dunbartonshire,2016,105.937,Electricity,Industrial
Clackmannanshire,2016,0,Bioenergy & Wastes,Industrial
Highland,2016,1556.094,Electricity,All
Highland,2016,7.125,Petroleum Products,Commercial
Glasgow City,2016,11351.289,All,All
Clackmannanshire,2016,224.003,Electricity,Industrial & Commercial
Aberdeen City,2016,23.878,Coal,Industrial
Highland,2016,3.824,Coal,Public Sector
Highland,2016,609.36,Petroleum Products,Domestic
West Lothian,2016,2.418,Manufactured Fuels,Industrial
Orkney Islands,2016,169.133,All,Domestic
Orkney Islands,2016,505.454,All,All
Shetland Islands,2016,174.682,All,Domestic
Clackmannanshire,2016,0.249,Petroleum Products,Rail
Glasgow City,2016,0,Coal,Industrial
Highland,2016,53.903,Coal,Industrial
East Dunbartonshire,2016,897.577,Gas,All
Aberdeen City,2016,14.926,Bioenergy & Wastes,Domestic
East Dunbartonshire,2016,346.304,Electricity,All
East Dunbartonshire,2016,0.248,Petroleum Products,Public Sector
Aberdeen City,2016,2.476,Petroleum Products,Commercial
Aberdeen City,2016,10.784,Petroleum Products,Rail
East Dunbartonshire,2016,167.152,Electricity,Industrial & Commercial
Aberdeen City,2016,11.96,Petroleum Products,Agriculture
West Dunbartonshire,2016,35.283,Petroleum Products,Industrial
Aberdeen City,2016,0,Coal,Rail
Aberdeen City,2016,273.269,Electricity,Commercial
Highland,2016,52.578,Petroleum Products,Rail
Clackmannanshire,2016,295.329,Petroleum Products,All
North Ayrshire,2016,4.175,Coal,All
East Dunbartonshire,2016,61.215,Electricity,Commercial
North Ayrshire,2016,752.022,Gas,Domestic
East Dunbartonshire,2016,0.656,Petroleum Products,Commercial
Shetland Islands,2016,64.74,Petroleum Products,Domestic
Shetland Islands,2016,236.705,All,Industrial & Commercial
Aberdeen City,2016,472.911,Electricity,Industrial
West Lothian,2016,13.591,Petroleum Products,Rail
Clackmannanshire,2016,2.315,Manufactured Fuels,All
Aberdeen City,2016,316.498,Petroleum Products,Industrial
Glasgow City,2016,4269.09,All,Industrial & Commercial
Highland,2016,1161.374,Gas,All
Highland,2016,903.548,Electricity,Industrial & Commercial
Aberdeen City,2016,665.492,Gas,Industrial
Clackmannanshire,2016,1.607,Manufactured Fuels,Domestic
East Dunbartonshire,2016,44.768,Gas,Commercial
Orkney Islands,2016,0,Petroleum Products,Rail
Aberdeen City,2016,27.526,Coal,All
Glasgow City,2016,1.137,Coal,Domestic
Scottish Borders,2016,253.723,Electricity,Domestic
Dumfries and Galloway,2016,0.654,Coal,Commercial
Falkirk,2016,682.893,Manufactured Fuels,All
North Lanarkshire,2016,0.305,Bioenergy & Wastes,Commercial
Falkirk,2016,0.065,Coal,Commercial
Dumfries and Galloway,2016,119.651,Bioenergy & Wastes,All
North Lanarkshire,2016,71.531,Bioenergy & Wastes,Road Transport
East Dunbartonshire,2016,755.665,Gas,Domestic
Aberdeen City,2016,11.581,Bioenergy & Wastes,Commercial
North Lanarkshire,2016,548.892,Electricity,Domestic
Dumfries and Galloway,2016,8.973,Coal,Domestic
Falkirk,2016,2.156,Coal,Domestic
West Dunbartonshire,2016,0.741,Petroleum Products,Commercial
Falkirk,2016,14752.047,Petroleum Products,All
West Dunbartonshire,2016,0,Coal,Rail
Falkirk,2016,45.189,Bioenergy & Wastes,All
Aberdeen City,2016,746.179,Electricity,Industrial & Commercial
East Dunbartonshire,2016,360.685,All,Industrial & Commercial
West Dunbartonshire,2016,0,Bioenergy & Wastes,Industrial
Glasgow City,2016,0,Coal,Rail
Orkney Islands,2016,0,Gas,All
East Dunbartonshire,2016,462.943,All,Transport
East Dunbartonshire,2016,0.008,Coal,Commercial
Clackmannanshire,2016,87.501,Electricity,Domestic
North Lanarkshire,2016,7331.003,All,All
East Dunbartonshire,2016,9.361,Petroleum Products,Agriculture
West Dunbartonshire,2016,122.888,Electricity,Industrial
Highland,2016,584.917,Bioenergy & Wastes,Industrial
Orkney Islands,2016,3.946,Coal,Industrial
West Dunbartonshire,2016,520.003,Petroleum Products,Road Transport
North Ayrshire,2016,1575.645,Bioenergy & Wastes,All
Dumfries and Galloway,2016,265.803,Petroleum Products,Domestic
Aberdeen City,2016,72.182,Bioenergy & Wastes,All
Aberdeen City,2016,5.387,Manufactured Fuels,Industrial
Clackmannanshire,2016,0,Coal,Agriculture
Aberdeen City,2016,0.476,Coal,Commercial
East Dunbartonshire,2016,18.274,Bioenergy & Wastes,All
East Dunbartonshire,2016,3.225,Coal,All
Orkney Islands,2016,2.991,Bioenergy & Wastes,Road Transport
Highland,2016,2139.408,Petroleum Products,Road Transport
Aberdeen City,2016,2127.436,All,Industrial & Commercial
West Dunbartonshire,2016,0.993,Petroleum Products,Rail
Aberdeen City,2016,0,Coal,Agriculture
Aberdeen City,2016,9.096,Manufactured Fuels,All
Dumfries and Galloway,2016,3004.757,Petroleum Products,All
Dumfries and Galloway,2016,129.326,Petroleum Products,Industrial
Aberdeen City,2016,1797.865,All,Domestic
North Ayrshire,2016,798.549,Petroleum Products,All
Glasgow City,2016,1.137,Coal,All
Scottish Borders,2016,90.726,Gas,Commercial
Aberdeen City,2016,1.445,Coal,Domestic
Highland,2016,324.841,Petroleum Products,Industrial
North Ayrshire,2016,5289.962,All,All
Shetland Islands,2016,168.254,All,Transport
East Dunbartonshire,2016,1776.477,All,All
Aberdeen City,2016,405.173,Electricity,Domestic
Highland,2016,572.647,Electricity,Industrial
Orkney Islands,2016,115.733,All,Transport
Glasgow City,2016,2.757,Manufactured Fuels,All
Aberdeen City,2016,1436.544,Petroleum Products,All
East Dunbartonshire,2016,179.153,Electricity,Domestic
North Ayrshire,2016,2.036,Coal,Industrial
